date,To,Ti_DORMITORIODAMAS
2019-10-16 18:00:00,7.7,9.751541126665012
2019-10-16 18:15:00,7.45,9.691435436507032
2019-10-16 18:30:00,7.2,9.641953371718715
2019-10-16 18:45:00,6.95,9.586201760213095
2019-10-16 19:00:00,6.7,9.514838506947424
2019-10-16 19:15:00,6.45,9.440944108184356
2019-10-16 19:30:00,6.2,9.374107276616312
2019-10-16 19:45:00,5.95,9.260866160802147
2019-10-16 20:00:00,5.7,9.14063104125112
2019-10-16 20:15:00,5.45,9.059337935402262
2019-10-16 20:30:00,5.2,9.048092781052956
2019-10-16 20:45:00,4.95,9.006052418121767
2019-10-16 21:00:00,4.7,8.924360566606893
2019-10-16 21:15:00,4.45,8.837356585312861
2019-10-16 21:30:00,4.2,8.760758619454604
2019-10-16 21:45:00,3.95,8.690784567993823
2019-10-16 22:00:00,3.7,8.620700462166125
2019-10-16 22:15:00,3.45,8.547259364601116
2019-10-16 22:30:00,3.2,8.471857200584179
2019-10-16 22:45:00,2.95,8.396344089763524
2019-10-16 23:00:00,2.7,8.320189198946004
2019-10-16 23:15:00,2.4750000000000005,8.245808392307811
2019-10-16 23:30:00,2.25,8.172799938613736
2019-10-16 23:45:00,2.0250000000000004,8.099585778157737
2019-10-17 00:00:00,1.7,8.728960231691582
2019-10-17 00:15:00,1.55,7.947340278345164
2019-10-17 00:30:00,1.3,7.868340060268134
2019-10-17 00:45:00,1.05,7.7886276143545965
2019-10-17 01:00:00,0.8,7.7083881611919685
2019-10-17 01:15:00,0.5000000000000001,7.627631204650883
2019-10-17 01:30:00,0.2,7.511430349583949
2019-10-17 01:45:00,-0.10000000000000003,7.388454007032811
2019-10-17 02:00:00,-0.4,7.302683533667628
2019-10-17 02:15:00,-0.55,7.220087526772174
2019-10-17 02:30:00,-0.7,7.191970872429998
2019-10-17 02:45:00,-0.85,7.140080917068629
2019-10-17 03:00:00,-1.0,7.053155898548542
2019-10-17 03:15:00,-1.15,6.964510544903134
2019-10-17 03:30:00,-1.3,6.883887083077521
2019-10-17 03:45:00,-1.4500000000000002,6.804187114925425
2019-10-17 04:00:00,-1.6,6.722582749725147
2019-10-17 04:15:00,-1.725,6.637594527659547
2019-10-17 04:30:00,-1.85,6.509940707620898
2019-10-17 04:45:00,-1.975,6.329586344166887
2019-10-17 05:00:00,-2.1,6.221442282426794
2019-10-17 05:15:00,-2.0250000000000004,6.168141156053118
2019-10-17 05:30:00,-1.9500000000000002,6.1154911227762385
2019-10-17 05:45:00,-1.875,6.067210237965194
2019-10-17 06:00:00,-1.8,6.051479963432696
2019-10-17 06:15:00,-0.9000000000000001,6.044070968224897
2019-10-17 06:30:00,0.0,6.078990448218836
2019-10-17 06:45:00,0.9000000000000001,6.140905582042587
2019-10-17 07:00:00,1.8,6.223509274629535
2019-10-17 07:15:00,2.425,6.321841277549716
2019-10-17 07:30:00,3.05,6.393014745121914
2019-10-17 07:45:00,3.675,6.545548653014137
2019-10-17 08:00:00,4.3,6.714321794475261
2019-10-17 08:15:00,4.875,6.864164876033156
2019-10-17 08:30:00,5.449999999999999,7.095289113104389
2019-10-17 08:45:00,6.0249999999999995,7.308080951776285
2019-10-17 09:00:00,6.6,7.550124562098569
2019-10-17 09:15:00,7.1,7.813516116405598
2019-10-17 09:30:00,7.6,8.020810514028701
2019-10-17 09:45:00,8.1,8.391581051040804
2019-10-17 10:00:00,8.6,8.666688261607597
2019-10-17 10:15:00,9.0,8.915371004892684
2019-10-17 10:30:00,9.399999999999999,9.164157220370228
2019-10-17 10:45:00,9.799999999999999,9.396926835196385
2019-10-17 11:00:00,10.2,9.601424266258583
2019-10-17 11:15:00,10.5,9.796216745751899
2019-10-17 11:30:00,10.8,9.991673716877877
2019-10-17 11:45:00,11.100000000000001,10.15536620606309
2019-10-17 12:00:00,11.4,10.292407285083073
2019-10-17 12:15:00,11.625,10.430934678094603
2019-10-17 12:30:00,11.850000000000001,10.567720422182964
2019-10-17 12:45:00,12.075000000000001,10.698546799172103
2019-10-17 13:00:00,12.3,10.824021459255503
2019-10-17 13:15:00,12.400000000000002,10.934942631686292
2019-10-17 13:30:00,12.5,11.036723613713548
2019-10-17 13:45:00,12.599999999999998,11.134554050474776
2019-10-17 14:00:00,12.7,11.226239426762556
2019-10-17 14:15:00,12.674999999999999,11.30919587226945
2019-10-17 14:30:00,12.649999999999999,11.382439410751802
2019-10-17 14:45:00,12.625,11.445180363040304
2019-10-17 15:00:00,12.6,11.497014625841468
2019-10-17 15:15:00,12.35,11.537960928024836
2019-10-17 15:30:00,12.1,11.55579369231674
2019-10-17 15:45:00,11.85,11.573469060617546
2019-10-17 16:00:00,11.6,11.572580267211224
2019-10-17 16:15:00,11.225,11.594258800648792
2019-10-17 16:30:00,10.85,11.582214188596454
2019-10-17 16:45:00,10.475,11.526133636178859
2019-10-17 17:00:00,10.1,11.508073735472207
2019-10-17 17:15:00,9.649999999999999,11.43403498150944
2019-10-17 17:30:00,9.2,11.341226262320303
2019-10-17 17:45:00,8.75,11.257077306828908
2019-10-17 18:00:00,8.3,11.20325252049208
2019-10-17 18:15:00,8.025,11.100567247830096
2019-10-17 18:30:00,7.75,11.070046316232366
2019-10-17 18:45:00,7.4750000000000005,10.939398773428598
2019-10-17 19:00:00,7.2,10.781140876128342
2019-10-17 19:15:00,6.925000000000001,10.665951082989801
2019-10-17 19:30:00,6.65,10.576675258999002
2019-10-17 19:45:00,6.374999999999999,10.48354094961794
2019-10-17 20:00:00,6.1,10.386009336668403
2019-10-17 20:15:00,5.824999999999999,10.274727244077384
2019-10-17 20:30:00,5.55,10.160003624975511
2019-10-17 20:45:00,5.275,10.047690252018931
2019-10-17 21:00:00,5.0,9.936401151840482
2019-10-17 21:15:00,4.725,9.846738399984103
2019-10-17 21:30:00,4.45,9.777514946582647
2019-10-17 21:45:00,4.175,9.714551874786041
2019-10-17 22:00:00,3.9,9.651782319379825
2019-10-17 22:15:00,3.5999999999999996,9.55342240230264
2019-10-17 22:30:00,3.3,9.435368099572619
2019-10-17 22:45:00,3.0000000000000004,9.31834751341007
2019-10-17 23:00:00,2.7,9.205483511300992
2019-10-17 23:15:00,2.45,9.087284432975913
2019-10-17 23:30:00,2.2,8.96429012368721
2019-10-17 23:45:00,1.95,8.844687908805035
2019-10-18 00:00:00,4.2,9.72099685889905
2019-10-18 00:15:00,1.5,8.61331011629252
2019-10-18 00:30:00,1.3,8.497202945472381
2019-10-18 00:45:00,1.1,8.38203613220842
2019-10-18 01:00:00,0.9,8.267150366841967
2019-10-18 01:15:00,0.675,8.154085208143275
2019-10-18 01:30:00,0.45,8.04277331332691
2019-10-18 01:45:00,0.225,7.935371185574241
2019-10-18 02:00:00,0.0,7.844897978271191
2019-10-18 02:15:00,-0.15,7.80312964547818
2019-10-18 02:30:00,-0.3,7.863993545889712
2019-10-18 02:45:00,-0.44999999999999996,7.830996532427695
2019-10-18 03:00:00,-0.6,7.7218352906918195
2019-10-18 03:15:00,-0.725,7.613790418662896
2019-10-18 03:30:00,-0.8500000000000001,7.524837506260327
2019-10-18 03:45:00,-0.9750000000000001,7.438912774184998
2019-10-18 04:00:00,-1.1,7.3488919028157875
2019-10-18 04:15:00,-1.2000000000000002,7.258538649394289
2019-10-18 04:30:00,-1.3,7.170542735590233
2019-10-18 04:45:00,-1.4,7.08428936550261
2019-10-18 05:00:00,-1.5,6.9988996809630075
2019-10-18 05:15:00,-1.425,6.918710162913948
2019-10-18 05:30:00,-1.35,6.8379978095790275
2019-10-18 05:45:00,-1.275,6.77306406644333
2019-10-18 06:00:00,-1.2,6.735188785822369
2019-10-18 06:15:00,-0.32499999999999996,6.7184616775316
2019-10-18 06:30:00,0.5499999999999999,6.749958172985264
2019-10-18 06:45:00,1.4249999999999998,6.788309941401232
2019-10-18 07:00:00,2.3,6.860663168939676
2019-10-18 07:15:00,2.875,6.929345980298287
2019-10-18 07:30:00,3.4499999999999997,7.023798208455682
2019-10-18 07:45:00,4.0249999999999995,7.140281199036023
2019-10-18 08:00:00,4.6,7.25662456546142
2019-10-18 08:15:00,5.175,7.414440368806943
2019-10-18 08:30:00,5.75,7.596248747667676
2019-10-18 08:45:00,6.325000000000001,7.788234039392408
2019-10-18 09:00:00,6.9,8.012524088203863
2019-10-18 09:15:00,7.375000000000001,8.263145785669952
2019-10-18 09:30:00,7.8500000000000005,8.536687260477741
2019-10-18 09:45:00,8.325000000000001,8.81138540013183
2019-10-18 10:00:00,8.8,8.99906731055403
2019-10-18 10:15:00,9.15,9.329469971502581
2019-10-18 10:30:00,9.5,9.555301239525534
2019-10-18 10:45:00,9.85,9.764227279667647
